Messung,	F0,	F1,	F2,	F3,	F4,	F5,	F6,	F7,	F8,	F9,	F10,	F11,	F12,	F13,	F14
01,		0,	0,	0,	1,	4,	5,	12,	8,	10,	5,	3,	2,	0,	0,	0
02,		0,	0,	1,	1,	4,	8,	12,	7,	9,	2,	5,	1,	0,	0,	0
03,		0,	0,	0,	0,	5,	11,	10,	7,	7,	6,	3,	0,	1,	0,	0
04,		0,	0,	1,	1,	2,	3,	10,	16,	7,	5,	2,	2,	1,	0,	0
05,		0,	0,	0,	1,	7,	5,	15,	5,	6,	9,	2,	0,	0,	0,	0
06,		0,	0,	1,	0,	2,	5,	10,	15,	4,	8,	4,	1,	0,	0,	0
07,		0,	0,	0,	0,	7,	6,	7,	8,	8,	6,	7,	0,	0,	1,	0
08,		0,	0,	0,	0,	2,	6,	11,	13,	8,	5,	4,	1,	0,	0,	0
09,		0,	0,	0,	1,	10,	11,	9,	6,	7,	3,	2,	1,	0,	0,	0
10,		0,	0,	0,	1,	1,	10,	16,	7,	8,	4,	3,	0,	0,	0,	0
11,		0,	0,	0,	0,	3,	10,	8,	7,	8,	6,	6,	2,	0,	0,	0
12,		0,	0,	0,	1,	3,	6,	10,	8,	10,	9,	1,	1,	1,	0,	0
13,		0,	0,	1,	0,	5,	5,	13,	9,	9,	3,	4,	1,	0,	0,	0
14,		0,	0,	0,	1,	8,	9,	11,	6,	6,	6,	2,	1,	0,	0,	0
15,		0,	0,	0,	1,	2,	7,	6,	12,	11,	4,	6,	1,	0,	0,	0
16,		0,	0,	1,	0,	4,	3,	9,	11,	7,	9,	3,	2,	0,	1,	0
17,		0,	0,	0,	2,	6,	3,	7,	10,	9,	8,	1,	4,	0,	0,	0
18,		0,	0,	0,	0,	1,	9,	12,	9,	9,	8,	1,	1,	0,	0,	0
19,		0,	0,	0,	4,	0,	6,	15,	9,	6,	5,	4,	0,	1,	0,	0
20,		0,	0,	0,	3,	5,	4,	10,	10,	9,	7,	2,	0,	0,	0,	0
